название;Компания;Название судна;Возрастное ограничение;Продолжительность;Регион;Сезонность;Порт отправления;Наличие русс туристических групп;ТЭГИ;Тип круиза;Цена в евро
Geographic north pole;Ponant;Le Commandant Charcot;8;15;Арктика;Летний;Лонгйир, Шпицберген;1;Географический сев полюс;Экспедиция;34690
Transarctic, the Quest for the Two North Poles;Ponant;Le Commandant Charcot;8;20;Арктика;Летний;Лонгйир, Шпицберген;0;Географический сев полюс дважды;Экспедиция;46440
ПОЛЯРНАЯ НОЧЬ: ОТ НОРДКАПА ДО ШПИЦБЕРГЕНА;Ponant;Le Commandant Charcot;8;9;Арктика;Осенний;Тромсё, Норвегия;0;Полярная ночь;Экспедиция;12410
Total solar eclipse in the Mediterranean;Ponant;Le Boréal;1;8;Европа;Осенний;Ница, Франция;0;Солнечное затмение;Классический;6130
ЭКСПЕДИЦИОННЫЙ КРУИЗ ПО АМАЗОНКЕ;Aqua expeditions;AQUA NERA;8;7;Южная америка;Зимний;Икитос;0;Амазонка;Экспедиция;10411
КРУИЗ К АНТАРКТИЧЕСКОМУ ПОЛУОСТРОВУ;Oceanwide;Hondius;8;10;Антарктида;Зимний;Ушуайя, Аргентина;0;Классическая антарктида;Экспедиция;11770
In the ice of the Arctic, from Greenland to Svalbard;Ponant;Le Commandant Charcot;8;19;Арктика;Летний;Рейкьявик, Исландия;0;Белый медведь;Экспедиция;27930
СЕВЕРНЫЙ ШПИЦБЕРГЕН;Oceanwide;Ortelius;8;7;Арктика;Летний;Лонгйир ;0;Короткий круиз в арктике с медведями;Экспедиция;3900
The Emperor Penguins of Weddell Sea;Ponant;Le Commandant Charcot;8;13;Антарктида;Зимний;Ушуайя, Аргентина;1;Императорские пингвины;Экспедиция;26790
ПУТЕШЕСТВИЕ ПО ЮЖНЫМ ЗЕМЛЯМ;Oceanwide;Hondius;8;23;Антарктида;Зимний;Ушуайя, Аргентина;0;Кролевские пингвины;Экспедиция;7850
КРУИЗ ПУТЕШЕСТВИЕ ПО ГАЛАПАГОССКИМ ОСТРОВАМ;Aqua expeditions;Aqua Mare;8;7;Южная америка;Весенний;Балтра;0;Эндемики;Экспедиция;10945
БАЛИ И НАЦИОНАЛЬНЫЙ ПАРК КОМОДО;Aqua expeditions;Aqua Blu;8;7;Азия;Летний;Лабуан Баджо;0;Вораны;Экспедиция;9342
RAJA AMPAT CRUISE;Aqua expeditions;Aqua Blu;8;7;Азия;Зимний;Кота-Кинабалу, Малайзия;0;Рифы, медузы, нетронутая природа ;Экспедиция;9827
КРУИЗ С ПЕРЕЛЕТОМ ЧЕРЕЗ ПРОЛИВ ДРЕЙКА;Antarctica 21;Magellan Explorer;8;7;Антарктида;Зимний;Пунта-Аренас, Чили;0;Самый короткий круиз антарктида;Экспедиция;15249
НОВЫЙ ГОД 2026 В АНТАРКТИДЕ;Scenic;Scenic Eclipse 1;8;15;Антарктида;Зимний;Буэнос Айрес, Аргентина;1;Новый год, антарктида;Экспедиция;19775
ПЕРЕСЕЧЕНИЕ ЮЖНОГО ПОЛЯРНОГО КРУГА;Oceanwide;Ortelius;8;11;Антарктида;Зимний;Ушуайя, Аргентина;0;Дайвинг, пересечение юж полюс;Экспедиция;7150
АКТИВНЫЕ ПРИКЛЮЧЕНИЯ В МОРЕ УЭДДЕЛЛА;Oceanwide;Ortelius;8;12;Антарктида;Зимний;Ушуайя, Аргентина;0;Альпинизм;Экспедиция;8800
LOVE SHARKS WEEK;Scubaspa;Scubaspa Yang;8;4;Азия;Летний;Мале, Мальдивы;0;Дайвинг с акулами;Экспедиция;1862
LOVE MANTAS WEEK;Scubaspa;Scubaspa Yin;8;4;Азия;Летний;Мале, Мальдивы;0;Дайвинг со скатами манта;Экспедиция;1862
LOVE WHALE SHARKS WEEK;Scubaspa;Scubaspa Yin;8;4;Азия;Летний;Мале, Мальдивы;0;Дайвинг с китовыми акулами;Экспедиция;1862
Gastronomy, Vineyards & Grands Crus;Ponant;Le Bellot;1;10;Европа;Весенний;Лиссабон;0;Винодельни;Классический;4090
Secular treasures in the Land of the Rising Sun;Ponant;Le Soléal;1;7;Азия;Весенний;Осака;0;Шеф Мишлен, японская гастрономия;Классический;7350
At the heart of the Greek islands;Ponant;Le Boréal;1;7;Европа;Летний;Афины;0;Концерты FESTIVAL DE PÂQUES;Классический;5670
Jazz festival, from the Baltic to the North Sea;Ponant;Le Commandant Charcot;8;10;Европа;Зимний;Хельсинки;0;Фестиваль джаза;Классический;10340
5th Opera Festival at Sea;Ponant;Le Dumont d’Urville;1;10;Европа;Летний;Венеция;0;Опера;Классический;8620